ID,NAME,DIFFICULTY,CARDIO,BULK,STRETCH,PROGRESSION,BICEP,TRICEP,ARM,ABS,CHEST,BACK,CALVES,LEGS,AVG. TIME,AVG. REPS
0,Push up,4,4,8,0,5,2,7,8,4,9,6,0,0,20,10
1,Pull up,5,3,8,4,6,8,1,0,5,0,7,0,0,15,7
2,Sit up,2,8,3,0,3,0,0,0,6,0,0,0,0,30,15
3,Leg lift(lying),5,6,5,3,5,0,0,0,8,0,2,0,2,20,10
4,Leg lift(hang),8,6,9,6,8,3,0,0,9,0,4,0,0,15,7
5,Knee raises(hanging),3,7,5,3,4,1,0,0,6,0,2,0,0,20,15
6,Squat,5,7,7,0,3,0,0,0,2,0,0,0,7,20,10
7,Calve raise,4,4,5,4,3,0,0,0,0,0,0,8,0,25,15
8,Dip,6,3,7,0,4,0,8,8,2,8,3,0,0,15,7
9,Jumping Jacks,1,8,0,0,0,0,0,0,1,0,0,3,3,45,40
10,Jumping rope,4,9,0,0,0,0,0,0,2,0,0,4,4,30,75
11,Burpee,5,10,2,0,0,3,3,3,4,3,2,4,6,30,12
12,Shadow box,8,10,2,2,0,2,2,2,4,2,3,3,4,45,30
13,Chin up,5,3,8,4,6,9,0,0,5,0,6,0,0,15,7
14,Wide pull up,6,2,8,2,7,6,0,0,3,0,8,0,0,15,7
15,Diamond push up,8,5,9,0,7,0,9,7,4,4,5,0,0,20,7
16,Pike push up,8,4,8,1,8,0,7,9,4,4,5,0,0,20,7
17,Sumo squat,6,6,7,2,5,0,0,0,0,0,0,0,8,20,10
18,Cross sit up,4,8,3,0,3,0,0,0,7,0,0,0,0,30,15
19,Punching sit up,3,9,3,0,3,0,0,0,6,0,0,0,0,30,15
20,Dragon flag,9,2,9,0,8,4,3,0,9,4,0,0,0,10,5
21,Explosive push up,7,6,7,0,7,0,7,8,4,8,5,0,0,15,7
22,Decline pushup,6,3,8,2,8,0,5,9,5,7,2,0,0,15,7
23,Lean push up,7,1,7,0,8,2,7,8,4,8,4,0,0,15,7
24,Impossible push up,7,0,7,0,6,0,9,5,5,5,5,0,0,20,7
25,Spider-man push up,6,7,4,4,0,0,6,7,6,7,3,0,0,25,10
26,Super-man push up,8,2,9,4,8,0,8,8,8,7,6,0,0,20,10
27,Archer push up,7,2,9,0,7,0,7,8,7,8,3,0,0,20,8
28,One arm push up,9,2,9,0,6,0,8,8,6,9,4,0,0,15,5
29,Handstand(assisted),7,5,7,5,8,0,5,8,7,4,5,0,0,20,7
30,Handstand,9,6,9,6,9,0,7,9,8,5,6,0,0,10,5
31,Handstand push up,10,3,10,6,9,0,9,10,8,8,7,0,0,10,5
32,Handstand tigerband push up,10,2,10,6,9,0,10,10,7,8,7,0,0,10,5
33,Handstand impossible push up,11,0,11,5,10,0,11,10,7,7,7,0,0,10,2
34,One arm handstand(assisted),9,4,8,3,8,0,3,9,7,4,5,0,0,10,3
35,One arm handstand,10,2,10,0,10,0,4,10,8,5,6,0,0,10,3
36,90deg push up,10,3,10,4,10,2,7,10,8,8,8,0,0,15,5
37,Tigerbend dip,7,2,7,0,5,0,8,9,2,8,0,0,0,15,5
38,Impossible dip,10,0,10,0,9,0,10,7,6,6,0,0,0,10,3
39,Korean dip,8,2,9,8,8,5,8,9,6,8,7,0,0,15,5
40,Bar dip,6,3,7,0,5,0,7,8,8,8,4,0,0,15,7
41,Bench dip,4,6,6,0,4,0,7,5,0,5,2,0,0,20,10
42,Close grip chin up,5,3,8,0,7,9,0,0,4,0,5,0,0,18,7
43,Negative pull up,3,3,5,0,6,7,0,0,4,0,5,0,0,20,5
44,Negative chin up,3,3,5,0,6,8,0,0,4,0,4,0,0,20,5
45,Australian push up,3,6,6,0,6,7,0,0,6,4,6,0,0,25,15
46,Close grip australian push up,3,6,6,0,6,8,0,0,5,3,4,0,0,25,15
47,Archer pull up,8,0,9,0,8,9,0,0,3,0,6,0,0,10,6
48,One arm assisted pull up,7,0,8,0,7,8,0,0,4,0,3,0,0,10,4
49,One arm pull up,10,0,10,0,10,10,0,0,6,0,6,0,0,8,3
50,Muscle up,8,5,9,0,9,8,7,8,6,7,6,0,0,20,5
51,Close grip muscle up,9,5,10,0,9,9,9,7,5,6,5,0,0,20,5
52,Wide grip muscle up,9,5,10,0,9,8,6,6,5,8,7,0,0,20,5
53,Chin up muscle up,9,5,10,0,9,9,6,6,5,8,7,0,0,20,5
54,One arm muscle up,12,0,12,0,12,12,11,10,6,6,5,0,0,5,1
55,Skinning the cat,5,2,3,8,5,4,0,0,6,5,6,0,0,20,4
56,Tuck FL raise,6,2,5,4,6,5,0,0,8,0,7,0,0,20,5
57,Advanced Tuck FL raise,8,2,7,4,7,6,0,0,9,0,8,0,0,20,4
58,Tuck FL pull up,7,3,6,4,6,7,0,0,8,0,8,0,0,15,6
59,Advanced Tuck FL pull up,8,3,7,4,7,7,0,0,8,0,9,0,0,15,6
60,On leg FL raise,6,2,5,4,5,5,0,0,6,0,6,0,0,15,5
61,Half FL (hold),9,0,9,3,8,7,0,0,9,0,9,0,0,5,3
62,Half FL (raise),9,2,9,2,9,8,0,0,9,0,10,0,0,5,3
63,Front lever (hold),10,0,10,3,10,8,0,0,10,0,10,0,0,5,2
64,Front lever (raise),10,2,10,3,10,7,0,0,11,0,11,0,0,7,3
65,Front lever pull up,11,2,11,2,11,12,0,0,11,0,11,0,0,7,3
66,Wide grip front lever (hold),11,0,11,3,11,8,0,0,11,0,11,0,0,5,2
67,Wide grip front lever pull up,11,2,11,2,11,12,0,0,11,0,12,0,0,7,3
68,Front lever touch hold,12,0,12,0,12,12,0,0,10,0,11,0,0,5,2
69,Wide grip front lever touch hold,13,0,13,0,13,13,0,0,11,0,12,0,0,4,1
70,Tuck back lever (hold),8,0,7,7,8,2,0,0,6,0,4,0,0,6,3
71,Back lever (hold,9,0,9,9,9,5,0,0,8,0,5,0,0,5,2
72,Scissors (horizontal),3,8,6,0,0,0,0,0,7,0,0,0,0,20,26
73,Scissors (vertical),3,8,6,0,0,0,0,0,7,0,0,0,0,20,26
74,Seated in&out,2,7,5,0,0,0,0,0,7,0,0,0,0,20,15
75,Lying knee to chest,2,7,5,0,0,0,0,0,7,0,0,0,0,25,18
